thread,ops,allocator
1,22777944,je
2,27499898,je
4,61606220,je
6,78082538,je
10,122445814,je
16,179741494,je
20,210544858,je
24,223759819,je
32,253053503,je
40,283621203,je
48,365944017,je
60,465318508,je
72,507218366,je
80,533133854,je
84,538181491,je
88,535676825,je
1,22916778,je
2,28789845,je
4,62425016,je
6,79836483,je
10,131200192,je
16,178775215,je
20,216105520,je
24,223626824,je
32,252462300,je
40,275343106,je
48,370071608,je
60,469088351,je
72,511019083,je
80,522073700,je
84,532717299,je
88,535698871,je
1,22635582,je
2,28307333,je
4,63729658,je
6,90219277,je
10,123610598,je
16,179810971,je
20,225890613,je
24,226141509,je
32,251154701,je
40,279465859,je
48,366173052,je
60,471128730,je
72,513599052,je
80,534813060,je
84,537648481,je
88,535167101,je
