thread,ops,allocator
1,26817976,lr
2,37895201,lr
4,72294463,lr
6,109695285,lr
10,142656205,lr
16,209395445,lr
20,245742365,lr
24,256156828,lr
32,290923711,lr
40,321971157,lr
48,413449066,lr
60,523902328,lr
72,548839518,lr
80,555600697,lr
84,566333279,lr
88,574349329,lr
1,26506900,lr
2,34273120,lr
4,76975069,lr
6,110544676,lr
10,152601857,lr
16,200569677,lr
20,258653662,lr
24,254693115,lr
32,286256830,lr
40,313480015,lr
48,414133276,lr
60,532709592,lr
72,551281104,lr
80,568446094,lr
84,570611332,lr
88,572622438,lr
1,26835078,lr
2,42765196,lr
4,64880308,lr
6,100018418,lr
10,154173761,lr
16,199745355,lr
20,252200288,lr
24,258299240,lr
32,289150254,lr
40,318272380,lr
48,406914738,lr
60,525646713,lr
72,553306642,lr
80,559478370,lr
84,570368007,lr
88,579402368,lr
