thread,ops,allocator
1,13434876,mak
2,24302692,mak
4,49278177,mak
6,65864210,mak
10,94306203,mak
16,133724114,mak
20,157227155,mak
24,167901826,mak
32,183704128,mak
40,201932933,mak
48,268382097,mak
60,343118344,mak
72,371539279,mak
80,389143119,mak
84,393756255,mak
88,395001191,mak
1,13397727,mak
2,23226766,mak
4,46574986,mak
6,60120279,mak
10,99713710,mak
16,132289520,mak
20,156990737,mak
24,164643785,mak
32,181752143,mak
40,202725206,mak
48,271536841,mak
60,344709243,mak
72,374001040,mak
80,387151145,mak
84,391979642,mak
88,395596482,mak
1,13445885,mak
2,26418532,mak
4,43356445,mak
6,59862929,mak
10,94606963,mak
16,132055176,mak
20,161584353,mak
24,166136727,mak
32,182723451,mak
40,202221688,mak
48,271631450,mak
60,339602710,mak
72,373621353,mak
80,389846869,mak
84,390456044,mak
88,394378516,mak
