thread,ops,allocator
1,19936994,r
2,35236611,r
4,60912822,r
6,82678324,r
10,137028615,r
16,173343551,r
20,211183998,r
24,216521144,r
32,241465123,r
40,263144928,r
48,349291521,r
60,449350010,r
72,486744541,r
80,515177505,r
84,512765494,r
88,512839612,r
1,19974310,r
2,31310766,r
4,63054187,r
6,77708302,r
10,128998656,r
16,171927115,r
20,203561848,r
24,212252023,r
32,239814861,r
40,266811356,r
48,351302916,r
60,446599758,r
72,488519146,r
80,508167680,r
84,506612086,r
88,508359348,r
1,20078303,r
2,28879698,r
4,52574059,r
6,84916652,r
10,135065030,r
16,169531593,r
20,206606263,r
24,217510961,r
32,241265249,r
40,266239765,r
48,352599594,r
60,440753908,r
72,487636536,r
80,507916653,r
84,511231369,r
88,517342602,r
