thread,exec_time,allocator
2,2.289854,je
4,1.138630,je
6,0.927260,je
10,0.562035,je
16,0.391970,je
20,0.328949,je
24,0.330967,je
32,0.263857,je
40,0.215154,je
48,0.178143,je
60,0.144880,je
72,0.127687,je
80,0.119401,je
84,0.189295,je
88,0.182018,je
2,2.164756,je
4,1.339957,je
6,0.916837,je
10,0.571938,je
16,0.393793,je
20,0.335917,je
24,0.330058,je
32,0.256690,je
40,0.213460,je
48,0.179894,je
60,0.144486,je
72,0.128299,je
80,0.119997,je
84,0.170178,je
88,0.198216,je
2,2.668493,je
4,1.196820,je
6,0.945919,je
10,0.580030,je
16,0.402683,je
20,0.330606,je
24,0.330238,je
32,0.258973,je
40,0.217356,je
48,0.180698,je
60,0.148716,je
72,0.126611,je
80,0.118014,je
84,0.171970,je
88,0.202375,je
