thread,exec_time,allocator
2,3.274426,lr
4,1.667071,lr
6,1.138437,lr
10,0.731684,lr
16,0.492341,lr
20,0.421054,lr
24,0.405194,lr
32,0.387147,lr
40,0.459209,lr
48,0.673336,lr
60,0.806174,lr
72,0.868485,lr
80,0.927661,lr
84,2.114027,lr
88,2.145331,lr
2,3.240628,lr
4,1.677376,lr
6,1.148974,lr
10,0.707999,lr
16,0.487967,lr
20,0.413915,lr
24,0.398404,lr
32,0.391834,lr
40,0.473878,lr
48,0.673085,lr
60,0.803346,lr
72,0.896407,lr
80,0.907468,lr
84,1.527072,lr
88,2.269371,lr
2,3.305785,lr
4,1.674544,lr
6,1.147479,lr
10,0.721252,lr
16,0.490954,lr
20,0.417906,lr
24,0.403828,lr
32,0.397597,lr
40,0.461465,lr
48,0.678931,lr
60,0.735616,lr
72,0.875492,lr
80,0.914047,lr
84,1.908365,lr
88,2.226649,lr
