thread,exec_time,allocator
2,4.214324,mak
4,2.045165,mak
6,1.438098,mak
10,1.123437,mak
16,1.007563,mak
20,0.985365,mak
24,0.997484,mak
32,0.973582,mak
40,1.015762,mak
48,1.296514,mak
60,1.471114,mak
72,1.569047,mak
80,1.528625,mak
84,1.623119,mak
88,1.564828,mak
2,3.884113,mak
4,2.064330,mak
6,1.427110,mak
10,1.131945,mak
16,1.023213,mak
20,0.997592,mak
24,0.986949,mak
32,0.966006,mak
40,1.001613,mak
48,1.320020,mak
60,1.499779,mak
72,1.557299,mak
80,1.549555,mak
84,1.524187,mak
88,1.613254,mak
2,4.169690,mak
4,2.053803,mak
6,1.409276,mak
10,1.155549,mak
16,1.010859,mak
20,0.981489,mak
24,0.988426,mak
32,0.975268,mak
40,1.025806,mak
48,1.304341,mak
60,1.499183,mak
72,1.577136,mak
80,1.580398,mak
84,1.556094,mak
88,1.669246,mak
