thread,exec_time,allocator
2,3.390153,r
4,1.816062,r
6,1.232942,r
10,0.763464,r
16,0.519804,r
20,0.436018,r
24,0.449183,r
32,0.347245,r
40,0.285691,r
48,0.245818,r
60,0.202780,r
72,0.183756,r
80,0.172462,r
84,0.240025,r
88,0.275912,r
2,3.524478,r
4,1.770802,r
6,1.248411,r
10,0.763060,r
16,0.510086,r
20,0.440153,r
24,0.451598,r
32,0.346425,r
40,0.289602,r
48,0.243639,r
60,0.203237,r
72,0.174851,r
80,0.169208,r
84,0.252610,r
88,0.294166,r
2,3.508514,r
4,1.800204,r
6,1.206541,r
10,0.766785,r
16,0.518682,r
20,0.434112,r
24,0.446968,r
32,0.349430,r
40,0.288610,r
48,0.244845,r
60,0.205576,r
72,0.180733,r
80,0.170869,r
84,0.284493,r
88,0.260491,r
