thread,exec_time,allocator
1,28.550507,je
2,13.609226,je
4,7.019463,je
6,4.834285,je
10,2.960409,je
16,2.056662,je
20,1.768045,je
24,2.320429,je
32,1.762015,je
40,1.504434,je
48,1.297681,je
60,1.026912,je
72,0.878417,je
80,0.734279,je
84,1.021974,je
88,0.981154,je
1,28.698138,je
2,13.640875,je
4,7.013041,je
6,4.856109,je
10,2.957142,je
16,2.064814,je
20,1.741382,je
24,2.320286,je
32,1.760665,je
40,1.521266,je
48,1.290733,je
60,1.022022,je
72,0.847350,je
80,0.726038,je
84,1.012310,je
88,0.991851,je
1,28.697902,je
2,13.597424,je
4,7.024652,je
6,4.775095,je
10,2.956462,je
16,2.038682,je
20,1.761184,je
24,2.337556,je
32,1.770298,je
40,1.499595,je
48,1.290175,je
60,1.026779,je
72,0.846198,je
80,0.736544,je
84,1.015708,je
88,1.004571,je
