thread,exec_time,allocator
1,8.244491,lr
2,3.765045,lr
4,1.895023,lr
6,1.316521,lr
10,0.762375,lr
16,0.539724,lr
20,0.473634,lr
24,0.630882,lr
32,0.515656,lr
40,0.510399,lr
48,0.574864,lr
60,1.154451,lr
72,0.771403,lr
80,0.979697,lr
84,2.364626,lr
88,2.224212,lr
1,8.263372,lr
2,3.766546,lr
4,1.899904,lr
6,1.317325,lr
10,0.762759,lr
16,0.536192,lr
20,0.478500,lr
24,0.628265,lr
32,0.515683,lr
40,0.508897,lr
48,0.588898,lr
60,0.941841,lr
72,0.704503,lr
80,1.078055,lr
84,1.845056,lr
88,2.757304,lr
1,8.367248,lr
2,3.780052,lr
4,1.904601,lr
6,1.318133,lr
10,0.762475,lr
16,0.543079,lr
20,0.476373,lr
24,0.625978,lr
32,0.512530,lr
40,0.513383,lr
48,0.579984,lr
60,0.936281,lr
72,0.701814,lr
80,1.105941,lr
84,2.479670,lr
88,2.320721,lr
