thread,exec_time,allocator
1,77.775706,mak
2,26.872760,mak
4,15.642066,mak
6,12.101645,mak
10,10.801531,mak
16,9.252385,mak
20,9.165928,mak
24,9.236649,mak
32,8.447517,mak
40,8.807163,mak
48,14.737796,mak
60,17.387516,mak
72,18.483367,mak
80,18.935904,mak
84,16.371425,mak
88,16.321716,mak
1,80.145014,mak
2,26.960031,mak
4,15.541145,mak
6,12.059409,mak
10,10.720342,mak
16,9.233793,mak
20,9.164345,mak
24,9.243473,mak
32,8.437031,mak
40,8.771078,mak
48,14.700756,mak
60,18.448447,mak
72,18.089552,mak
80,18.638833,mak
84,16.131174,mak
88,15.555961,mak
1,79.668325,mak
2,26.895101,mak
4,15.568273,mak
6,12.003784,mak
10,10.791406,mak
16,9.273456,mak
20,9.176494,mak
24,9.187511,mak
32,8.398470,mak
40,8.728114,mak
48,14.706588,mak
60,17.465897,mak
72,18.647399,mak
80,18.981962,mak
84,18.007731,mak
88,15.364416,mak
