thread,exec_time,allocator
1,14.200582,r
2,6.801436,r
4,3.423977,r
6,2.404348,r
10,1.380885,r
16,0.970719,r
20,0.851748,r
24,1.271444,r
32,1.007594,r
40,0.882126,r
48,,r
60,,r
72,,r
80,,r
84,,r
88,,r
1,14.199285,r
2,6.796157,r
4,3.424356,r
6,2.401296,r
10,1.382618,r
16,0.970038,r
20,0.847298,r
24,1.267875,r
32,1.003574,r
40,0.879551,r
48,,r
60,,r
72,,r
80,,r
84,,r
88,,r
1,14.204689,r
2,6.794892,r
4,3.420275,r
6,2.400880,r
10,1.386306,r
16,0.967608,r
20,0.846623,r
24,1.269756,r
32,1.007445,r
40,0.880955,r
48,,r
60,,r
72,,r
80,,r
84,,r
88,,r
