thread,exec_time,allocator
1,38.976428,je
2,18.859174,je
4,10.033048,je
6,6.549114,je
10,4.179117,je
16,3.024304,je
20,2.615046,je
24,3.579610,je
32,2.872465,je
40,2.576145,je
48,2.112195,je
60,1.704751,je
72,1.415603,je
80,1.264006,je
84,1.635888,je
88,1.544479,je
1,38.625003,je
2,18.854390,je
4,9.645105,je
6,6.550694,je
10,4.238179,je
16,3.020804,je
20,2.607576,je
24,3.585183,je
32,2.870549,je
40,2.601412,je
48,2.115234,je
60,1.711456,je
72,1.402509,je
80,1.260497,je
84,1.636426,je
88,1.527860,je
1,38.650166,je
2,18.857918,je
4,9.665893,je
6,6.549853,je
10,4.190863,je
16,3.057733,je
20,2.769566,je
24,3.569989,je
32,2.896277,je
40,2.558043,je
48,2.114492,je
60,1.720521,je
72,1.392722,je
80,1.272177,je
84,1.639944,je
88,1.529449,je
