thread,exec_time,allocator
1,32.716161,lr
2,16.598219,lr
4,6.197186,lr
6,4.245360,lr
10,2.821781,lr
16,2.271141,lr
20,2.108905,lr
24,2.328768,lr
32,2.021458,lr
40,1.790632,lr
48,6.493999,lr
60,9.711208,lr
72,12.477921,lr
80,12.770619,lr
84,11.900869,lr
88,10.631953,lr
1,32.874258,lr
2,15.689619,lr
4,6.165274,lr
6,4.246621,lr
10,2.784652,lr
16,2.253992,lr
20,2.115345,lr
24,2.338538,lr
32,2.031301,lr
40,1.806735,lr
48,6.454998,lr
60,10.173746,lr
72,12.350363,lr
80,12.145818,lr
84,11.178166,lr
88,9.622545,lr
1,32.985707,lr
2,15.800463,lr
4,6.179242,lr
6,4.242388,lr
10,2.811289,lr
16,2.274787,lr
20,2.101192,lr
24,2.340770,lr
32,2.017169,lr
40,1.805121,lr
48,6.303314,lr
60,10.055085,lr
72,13.195730,lr
80,12.567882,lr
84,,lr
88,10.867956,lr
