thread,exec_time,allocator
1,312.154854,mak
2,56.959846,mak
4,46.721696,mak
6,45.068355,mak
10,39.824306,mak
16,47.048104,mak
20,54.263442,mak
24,48.535825,mak
32,48.111876,mak
40,52.011911,mak
48,82.771785,mak
60,107.509737,mak
72,117.674237,mak
80,115.317930,mak
84,112.002331,mak
88,100.272792,mak
1,317.769955,mak
2,50.192355,mak
4,46.986153,mak
6,45.067756,mak
10,39.866398,mak
16,46.975088,mak
20,53.882723,mak
24,48.395219,mak
32,48.615364,mak
40,52.118075,mak
48,84.032216,mak
60,110.289137,mak
72,120.952546,mak
80,121.235942,mak
84,113.394377,mak
88,99.736189,mak
1,296.842680,mak
2,50.507331,mak
4,46.664697,mak
6,44.800000,mak
10,39.435361,mak
16,46.850738,mak
20,54.069190,mak
24,48.405633,mak
32,48.044462,mak
40,52.292909,mak
48,84.372818,mak
60,110.301314,mak
72,121.108313,mak
80,118.683692,mak
84,118.127775,mak
88,100.113042,mak
