thread,exec_time,allocator
1,28.401584,r
2,14.304590,r
4,7.592252,r
6,5.296716,r
10,3.514794,r
16,2.875900,r
20,2.591118,r
24,3.256930,r
32,2.765443,r
40,2.379871,r
48,4.029562,r
60,3.819618,r
72,4.303552,r
80,5.253134,r
84,4.966208,r
88,4.909652,r
1,28.113612,r
2,14.295704,r
4,7.593236,r
6,5.298062,r
10,3.522159,r
16,2.889411,r
20,2.634574,r
24,3.294940,r
32,2.793086,r
40,2.396415,r
48,3.961593,r
60,4.417865,r
72,5.443769,r
80,4.557229,r
84,5.154205,r
88,4.687035,r
1,28.120371,r
2,14.298658,r
4,7.588581,r
6,5.302493,r
10,3.521109,r
16,2.901728,r
20,2.637813,r
24,3.275399,r
32,2.764636,r
40,2.375693,r
48,3.988139,r
60,3.798252,r
72,4.253845,r
80,5.235905,r
84,5.120128,r
88,5.058938,r
